doc_id,Gender,judgement,GT_score,Inferred_Gender
107,0,0.4064280958447425,8765,0
13,0,0.3916684501139885,19923,0
19,0,0.3652377844052027,18135,0
24,0,0.3540415160515843,17263,0
16,0,0.3388500162763158,18992,0
87,1,0.272387273785261,9693,1
7,0,0.3346495440625164,26394,0
47,0,0.2967617339044238,13932,0
53,0,0.2960324750461421,12925,0
8,0,0.2937560250659741,26218,0
173,1,0.2097910699761594,6005,1
75,0,0.2857434247322211,11098,0
61,0,0.2837608889495254,12478,0
11,0,0.277497842284283,21606,0
232,1,0.1849933905490578,4435,1
214,0,0.2773720277901114,4915,0
5,0,0.2767657051804761,26397,0
116,0,0.2623978941598627,8290,0
15,0,0.2608970912341702,19172,0
169,1,0.1816873986513157,6184,1
104,0,0.2604646248188861,8890,0
2,0,0.2598646710710709,26946,0
196,0,0.2558838308770467,5458,0
22,0,0.2557522598918248,17658,0
238,1,0.1807894277189635,4258,1
54,0,0.2549308370119252,12924,0
33,0,0.2515053994818316,15991,0
1,0,0.2483130967253907,32292,0
215,1,0.1761078350189308,4875,1
247,0,0.2481101218079968,4037,0
3,0,0.2460023839018993,26931,0
93,0,0.2435264496206323,9578,0
14,0,0.2429659028364211,19364,0
254,1,0.1741832004145296,3786,1
105,0,0.2429624122201262,8875,0
225,0,0.2424111125432603,4618,0
12,0,0.2414123428527147,20445,0
233,1,0.1671880166454803,4433,1
10,0,0.2348096061645757,23848,0
59,0,0.234720320388483,12517,0
58,0,0.233785820738052,12558,0
38,0,0.2330473147724251,15213,0
239,1,0.1664158602072997,4253,1
362,0,0.2327956857840819,1953,0
62,0,0.2327562788204779,12417,0
201,0,0.2303476454843182,5317,0
43,0,0.2299621796359977,14593,0
290,1,0.1604130772669759,3084,1
37,0,0.2297934675619271,15428,0
82,0,0.2293673700084631,10061,0
17,0,0.2274769982473854,18715,0
237,1,0.1536637659952194,4323,1
128,0,0.2259291947547293,7674,0
27,0,0.224857367628026,16827,0
51,0,0.2245535939524386,13570,0
18,0,0.223824335094157,18679,0
253,1,0.1511843410976575,3814,1
96,0,0.2235669496147635,9377,0
147,0,0.222243493499717,6602,0
26,0,0.222105553652675,16933,0
288,1,0.1358699050737427,3103,1
39,0,0.2211252781768199,15092,0
9,0,0.2186343402971573,26126,0
123,0,0.2180824282495216,8138,0
80,0,0.2164030537716436,10457,0
307,1,0.12741620358813,2775,1
49,0,0.2159283021472303,13856,0
69,0,0.2158946516746767,11713,0
36,0,0.2152019215344738,15525,0
57,0,0.2147271699100605,12670,0
354,1,0.1267327205552725,2032,1
240,0,0.2141723796168997,4231,0
146,0,0.2131428376993256,6636,0
25,0,0.2127602500965302,17105,0
296,1,0.1259147882916678,2973,1
113,0,0.2096223579020889,8356,0
145,0,0.2094078700025943,6774,0
86,0,0.2087644063041105,9743,0
78,0,0.2087215087242116,10689,0
268,1,0.1242846802555088,3534,1
135,0,0.2066624248890634,7205,0
55,0,0.2048607265333087,12790,0
21,0,0.2047784219898057,17911,0
6,0,0.2028051333144553,26395,0
365,1,0.1242389044300847,1935,1
279,0,0.2011807817693467,3300,0
346,0,0.1993755927972971,2099,0
46,0,0.1982516209833496,13980,0
403,1,0.1163457497286832,1404,1
48,0,0.1977339717790374,13859,0
155,0,0.1971391621515028,6458,0
44,0,0.1963704963296172,14508,0
267,0,0.1936215605997913,3563,0
336,1,0.1142008707337371,2247,1
4,0,0.1931903189260466,26710,0
202,0,0.1925125923842394,5285,0
110,0,0.1872269429493269,8486,0
242,1,0.1138548118490206,4217,1
108,0,0.1858605892543815,8667,0
952,0,0.1855994370557143,6,0
164,0,0.1846594570172117,6226,0
149,0,0.1839667268770088,6529,0
397,1,0.099529898408306,1505,1
126,0,0.1837951365574132,7839,0
99,0,0.1835377510780196,9032,0
252,0,0.1804983917670163,3820,0
140,0,0.180243884533148,6975,0
337,1,0.0982429710113384,2245,1
88,0,0.1801917398459038,9654,0
174,0,0.1771889092529793,6000,0
40,0,0.1761536108443548,15063,0
399,1,0.097854014546723,1445,1
34,0,0.1751240689267807,15581,0
20,0,0.1735797560504196,17949,0
91,0,0.1733681463964501,9618,0
83,0,0.1725594612401907,9988,0
366,1,0.0958378282914737,1918,1
189,0,0.1714012265829198,5692,0
119,0,0.1713948577210998,8208,0
30,0,0.1710951870325771,16652,0
299,1,0.0906472211237042,2915,1
56,0,0.1698140161266597,12713,0
73,0,0.1685270887296921,11344,0
179,0,0.1682204368085796,5919,0
52,0,0.1675804637263907,13198,0
396,1,0.0846015406034815,1506,1
23,0,0.167359606965076,17623,0
153,0,0.1661613529734314,6478,0
118,0,0.1659010892485127,8214,0
223,0,0.1644089210593957,4684,0
359,1,0.0844670913727343,1995,1
35,0,0.1642280836324547,15530,0
241,0,0.1631585223805069,4219,0
29,0,0.1626408731761947,16712,0
313,1,0.0843841744584617,2647,1
203,0,0.1623434683624274,5263,0
109,0,0.1613603146410471,8620,0
