Wrong Inference Percentage,ULTR_1,ULTR_2,ULTR_3,FLTR_1,FLTR_2,FLTR_3,ULTR + PostF_1,ULTR + PostF_2,ULTR + PostF_3,ULTRH + PostF_1,ULTRH + PostF_2,ULTRH + PostF_3,LTR + PostF_1,LTR + PostF_2,LTR + PostF_3
0,0.833,0.833,0.833,0.979,0.979,0.979,0.994,0.994,0.994,0.998,0.998,0.998,0.998,0.998,0.998
10,0.915,0.892,0.849,1.004,0.994,0.987,0.994,0.994,0.994,1.023,1.014,1.008,1.023,1.014,1.008
20,0.999,0.946,0.868,1.034,1.012,0.995,0.999,0.995,0.994,1.04,1.025,1.02,1.04,1.025,1.02
30,1.073,0.987,0.892,1.058,1.023,1.004,1.001,0.996,0.994,1.039,1.033,1.03,1.039,1.033,1.03
40,1.146,1.026,0.925,1.084,1.037,1.015,1.002,0.998,0.994,1.021,1.04,1.038,1.021,1.04,1.038
50,1.211,1.042,0.977,1.111,1.042,1.028,1.006,0.998,0.995,1.001,1.042,1.042,1.001,1.042,1.042
60,1.248,1.042,1.042,1.125,1.042,1.042,1.006,0.998,0.998,0.998,1.042,1.042,0.998,1.042,1.042
70,1.248,1.042,1.042,1.125,1.042,1.042,1.006,0.998,0.998,0.998,1.042,1.042,0.998,1.042,1.042
80,1.248,1.042,1.042,1.125,1.042,1.042,1.006,0.998,0.998,0.998,1.042,1.042,0.998,1.042,1.042
90,1.248,1.042,1.042,1.125,1.042,1.042,1.006,0.998,0.998,0.998,1.042,1.042,0.998,1.042,1.042
100,1.248,1.042,1.042,1.125,1.042,1.042,1.006,0.998,0.998,0.998,1.042,1.042,0.998,1.042,1.042
