q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,1,0,Michael Jordan*,15,27.37,32292
1,2,1,Hakeem Olajuwon*,18,22.91,26946
1,3,0,Alex English*,17,19.11,26931
1,4,1,Oscar Robertson*,14,22.81,26710
1,5,0,Paul Pierce,19,18.56,26397
1,6,1,John Havlicek*,16,17.33,26395
1,7,1,Kevin Garnett,23,21.04,26394
1,8,0,Ray Allen,20,18.66,26218
1,9,1,Carmelo Anthony,16,21.02,26126
1,10,1,Clyde Drexler*,17,20.93,23848
1,11,0,Joe Johnson,20,14.87,21606
1,12,0,Walter Davis,17,18.04,20445
1,13,0,Kevin Willis,27,14.46,19923
1,14,1,Jamal Crawford,19,15.11,19364
1,15,1,Chris Webber,19,19.29,19172
1,16,0,Jason Kidd,23,17.59,18992
1,17,1,Jason Terry,18,15.36,18715
1,18,0,Jeff Malone,17,13.94,18679
1,19,0,Andre Miller,25,16.02,18135
1,20,0,Calvin Murphy*,13,17.67,17949
1,21,1,Chris Mullin*,16,17.79,17911
1,22,1,Jerry Stackhouse,20,14.23,17658
1,23,0,Rolando Blackman,13,16.22,17623
1,24,0,James Edwards,25,13.41,17263
1,25,1,Jason Richardson,17,15.79,17105
1,26,0,Jeff Hornacek,16,17.4,16933
1,27,1,Elton Brand,17,18.61,16827
1,28,0,Mike Mitchell,12,16.18,16742
1,29,0,Latrell Sprewell,13,15.12,16712
1,30,1,Dwight Howard,13,21.52,16652
1,31,1,Pete Maravich*,12,17.22,16537
1,32,0,James Worthy*,12,17.49,16320
1,33,1,Al Harrington,20,13.24,15991
1,34,0,Walt Frazier*,13,18.03,15581
1,35,0,Bob Dandridge,13,15.49,15530
1,36,0,Jo Jo,17,11.93,15525
1,37,1,Eddie Jones,18,15.9,15428
1,38,0,Armen Gilliam,17,16.09,15213
1,39,1,Baron Davis,17,17.74,15092
1,40,0,Jerry Lucas*,13,18.27,15063
1,41,1,Xavier McDaniel,14,14.96,14979
1,42,1,Purvis Short,12,16.64,14607
1,43,1,Alonzo Mourning*,17,19.8,14593
1,44,1,Bill Laimbeer,16,15.83,14508
1,45,1,Joe Barry,14,14.66,14192
1,46,0,Nick Van,15,15.7,13980
1,47,0,Mark Jackson,21,15.5,13932
1,48,0,Kevin Johnson,14,19.44,13859
1,49,0,Kevin Martin,16,15.96,13856
1,50,0,Archie Clark,12,17.07,13757
1,51,0,Kendall Gill,17,14.11,13570
1,52,1,Corey Maggette,14,16.84,13198
1,53,0,Donyell Marshall,21,15.33,12925
1,54,0,Bill Bridges,19,13.47,12924
1,55,0,David Wesley,16,13.38,12790
1,56,1,Bill Cartwright,15,13.5,12713
1,57,0,Dell Curry,16,15.68,12670
1,58,1,Tayshaun Prince,19,12.97,12558
1,59,0,Antonio McDyess,17,16.48,12517
1,60,1,Red Kerr,12,16.71,12480
1,61,0,Dikembe Mutombo*,20,16.33,12478
1,62,1,Charles Oakley,19,12.73,12417
1,63,1,Cazzie Russell,12,15.47,12377
1,64,1,Kelly Tripucka,10,15.72,12142
1,65,1,Billy Knight,13,15.92,12079
1,66,1,Sidney Moncrief,11,17.75,11931
1,67,0,Paul Millsap,11,19.03,11890
1,68,1,Bingo Smith,13,13.6,11775
1,69,1,Kyle Korver,18,12.66,11713
1,70,0,Junior Bridgeman,12,15.2,11517
1,71,0,Rudy LaRusso,10,15.28,11507
1,72,0,Steve Francis,11,16.65,11451
1,73,1,John Starks,15,13.2,11344
1,74,1,Dan Roundfield,11,17.44,11318
1,75,1,John Lucas,22,13.5,11098
1,76,1,Ricky Sobers,11,13.71,10902
1,77,1,Fred Carter,12,12.24,10831
1,78,0,Corliss Williamson,16,14.28,10689
1,79,0,Jerry Sloan*,11,12.86,10571
1,80,0,Grant Long,17,12.21,10457
1,81,1,Wayne Embry*,11,14.8,10380
1,82,1,Doug Christie,19,11.94,10061
1,83,1,Walt Williams,15,14.14,9988
1,84,1,John Williamson,11,13.97,9919
1,85,0,Tom Meschery,10,13.08,9904
1,86,0,Leandro Barbosa,16,14.29,9743
1,87,0,Diana Taurasi,18,21.4,9693
1,88,0,Jim Washington,15,11.49,9654
1,89,1,Kenny Carr,14,13.53,9637
1,90,1,Michael Adams,11,15.8,9621
1,91,0,Jarrett Jack,14,13.76,9618
1,92,0,Marc Gasol,9,18.72,9592
