doc_id,Gender,judgement,GT_score,InferredGender
47,0,0.1068205238420283,1.75,0
625,1,0.1068205238420283,0.02,1
25,0,0.1068205238420283,1.94,0
643,0,0.1018526889320042,-0.03,0
235,0,0.1018526889320042,0.92,0
763,1,0.1018526889320042,-0.26,1
27,0,0.0992836636528559,1.94,0
42,1,0.0992836636528559,1.78,1
26,1,0.0968848540219802,1.94,1
1155,0,0.0968848540219802,-1.36,0
45,0,0.0968848540219802,1.77,0
501,1,0.0968848540219802,0.26,1
255,1,0.0967146383737077,0.86,1
3,0,0.0919170191119561,2.76,0
526,0,0.0967146383737077,0.2,0
124,0,0.0919170191119561,1.37,0
785,0,0.0943158287428319,-0.3,0
253,1,0.0917468034636836,0.86,1
91,1,0.0919170191119561,1.52,1
9,0,0.0891777781845353,2.08,0
353,0,0.0869491842019321,0.58,0
279,1,0.0893479938328078,0.8,1
1090,0,0.0843801589227838,-1.08,0
581,1,0.0893479938328078,0.1,1
36,1,0.0842099432745113,1.85,1
51,0,0.0891777781845353,1.71,0
198,0,0.0842099432745113,1.08,0
726,1,0.0869491842019321,-0.19,1
182,0,0.0818111336436355,1.12,0
955,0,0.081640917995363,-0.67,0
1116,0,0.0869491842019321,-1.17,0
321,0,0.0792421083644872,0.65,0
698,0,0.0843801589227838,-0.12,0
215,0,0.0792421083644872,1.01,0
987,0,0.0842099432745113,-0.78,0
666,0,0.0770135143613086,-0.06,0
728,1,0.0842099432745113,-0.19,1
35,0,0.0768432987336115,1.85,0
69,1,0.081640917995363,1.62,1
369,0,0.0766730830853389,0.55,0
1019,0,0.0744444891027357,-0.85,0
109,0,0.0794123240127597,1.44,0
298,0,0.0744444891027357,0.73,0
398,1,0.0768432987336115,0.49,1
29,0,0.0744444891027357,1.92,0
382,0,0.0766730830853389,0.54,0
678,0,0.0742742734544632,-0.09,0
421,0,0.0766730830853389,0.44,0
915,0,0.0742742734544632,-0.56,0
147,0,0.0742742734544632,1.28,0
471,0,0.0744444891027357,0.32,0
593,0,0.0742742734544632,0.09,0
341,1,0.0742742734544632,0.6,1
282,1,0.0741040578061906,0.79,1
289,0,0.0720456794512846,0.76,0
248,1,0.0720456794512846,0.87,1
409,0,0.0718754638235874,0.47,0
405,0,0.0718754638235874,0.48,0
242,1,0.0718754638235874,0.89,1
140,0,0.0718754638235874,1.3,0
33,1,0.0717052481753149,1.86,1
450,0,0.0717052481753149,0.37,0
942,1,0.0717052481753149,-0.64,1
1175,0,0.0717052481753149,-1.53,0
624,0,0.0694766541721362,0.02,0
77,0,0.0694766541721362,1.59,0
287,0,0.0693064385444391,0.77,0
539,1,0.0694766541721362,0.17,1
759,0,0.0691362228961666,-0.26,0
318,0,0.0691362228961666,0.66,0
112,1,0.0694766541721362,1.43,1
956,1,0.0679368180807287,-0.69,1
340,0,0.0693064385444391,0.6,0
329,0,0.0669076289135634,0.63,0
1051,0,0.0693064385444391,-0.96,0
23,0,0.0669076289135634,1.96,0
276,0,0.0669076289135634,0.81,0
295,0,0.0669076289135634,0.73,0
693,1,0.0669076289135634,-0.11,1
350,1,0.0667374132652908,0.58,1
15,1,0.0667374132652908,2.05,1
519,1,0.0667374132652908,0.22,1
178,0,0.0667374132652908,1.15,0
10,0,0.0665671976580681,2.08,0
157,0,0.0645088192621122,1.23,0
898,0,0.0643386036344151,-0.53,0
767,1,0.0643386036344151,-0.26,1
648,1,0.0643386036344151,-0.03,1
1171,1,0.0643386036344151,-1.49,1
867,0,0.0617695783552668,-0.46,0
121,0,0.0617695783552668,1.38,0
294,1,0.061599362748044,0.74,1
380,1,0.061599362748044,0.54,1
969,0,0.061599362748044,-0.72,0
363,1,0.061599362748044,0.56,1
608,1,0.061599362748044,0.06,1
1103,1,0.061599362748044,-1.12,1
469,0,0.0595409843520881,0.33,0
106,0,0.059370768724391,1.45,0
149,1,0.0592005530761185,1.27,1
338,0,0.0592005530761185,0.6,0
145,1,0.0590303374688957,1.29,1
11,1,0.0590303374688957,2.08,1
241,1,0.0590303374688957,0.9,1
784,0,0.0569719590729399,-0.3,0
699,0,0.0569719590729399,-0.12,0
766,0,0.0568017434452427,-0.26,0
250,0,0.05663152783802,0.87,0
104,0,0.0568017434452427,1.46,0
756,0,0.05663152783802,-0.25,0
1053,1,0.05663152783802,-0.96,1
602,0,0.0554321229815323,0.07,0
78,1,0.05663152783802,1.59,1
806,0,0.0545731494420641,-0.34,0
2,0,0.0545731494420641,2.85,0
202,0,0.0544029337937916,1.07,0
497,0,0.0544029337937916,0.27,0
80,1,0.0544029337937916,1.57,1
83,0,0.0542327181660944,1.57,0
283,0,0.0542327181660944,0.79,0
229,0,0.0542327181660944,0.93,0
189,1,0.0542327181660944,1.11,1
1084,0,0.0542327181660944,-1.07,0
243,1,0.0540625025588717,0.89,1
652,0,0.0521743398111883,-0.04,0
16,0,0.0520041241629158,2.03,0
1079,0,0.0518339085352187,-1.06,0
193,0,0.0518339085352187,1.09,0
352,1,0.0518339085352187,0.58,1
829,1,0.0516636929279959,-0.38,1
1082,0,0.0516636929279959,-1.07,0
90,0,0.0516636929279959,1.53,0
135,0,0.0516636929279959,1.32,0
461,1,0.0516636929279959,0.34,1
808,1,0.0514934772797234,-0.35,1
365,1,0.04960531453204,0.56,1
258,0,0.0494350988837675,0.85,0
562,1,0.0494350988837675,0.14,1
293,0,0.0492648832560704,0.75,0
314,0,0.0492648832560704,0.67,0
549,1,0.0492648832560704,0.15,1
355,1,0.0492648832560704,0.58,1
208,1,0.0492648832560704,1.05,1
343,0,0.0490946676488476,0.6,0
181,1,0.0490946676488476,1.13,1
79,0,0.0468660736046192,1.57,0
410,1,0.0490946676488476,0.47,1
960,0,0.0468660736046192,-0.69,0
73,1,0.0490946676488476,1.6,1
1212,1,0.0468660736046192,-2.1,1
414,0,0.0490946676488476,0.46,0
637,0,0.0466958580179718,-0.01,0
176,1,0.0490946676488476,1.16,1
94,0,0.0466958580179718,1.51,0
160,0,0.0466958580179718,1.22,0
54,0,0.0470362892528918,1.7,0
226,0,0.0466958580179718,0.94,0
675,1,0.0468660736046192,-0.08,1
1088,0,0.0465256423696993,-1.08,0
598,0,0.0466958580179718,0.08,0
162,1,0.0465256423696993,1.2,1
422,0,0.0465256423696993,0.44,0
428,0,0.0465256423696993,0.43,0
273,0,0.0442970483460463,0.81,0
41,0,0.0442970483460463,1.78,0
245,0,0.0442970483460463,0.89,0
390,1,0.0442970483460463,0.51,1
164,0,0.0442970483460463,1.2,0
300,1,0.0442970483460463,0.71,1
443,1,0.0442970483460463,0.38,1
504,0,0.0441268327388236,0.25,0
861,0,0.0441268327388236,-0.44,0
662,1,0.0441268327388236,-0.05,1
133,1,0.0441268327388236,1.33,1
566,0,0.0441268327388236,0.13,0
172,1,0.0441268327388236,1.17,1
711,1,0.0441268327388236,-0.14,1
1202,0,0.043956617090551,-1.86,0
200,0,0.0418982386945952,1.08,0
354,0,0.0418982386945952,0.58,0
1092,0,0.0418982386945952,-1.08,0
64,1,0.0418982386945952,1.65,1
403,1,0.0418982386945952,0.48,1
12,1,0.0417280231079478,2.07,1
525,0,0.0417280231079478,0.2,0
565,1,0.0417280231079478,0.13,1
110,1,0.0417280231079478,1.44,1
479,1,0.0415578074596753,0.3,1
360,1,0.0415578074596753,0.57,1
515,1,0.0394994290637194,0.22,1
667,1,0.0393292134154469,-0.07,1
981,0,0.0393292134154469,-0.76,0
5,1,0.0393292134154469,2.7,1
1002,0,0.0391589978287995,-0.8,0
647,0,0.0391589978287995,-0.03,0
259,1,0.0391589978287995,0.85,1
880,0,0.0391589978287995,-0.49,0
1039,1,0.0391589978287995,-0.9,1
499,0,0.0391589978287995,0.26,0
611,0,0.0391589978287995,0.05,0
93,0,0.038988782180527,1.51,0
438,0,0.038988782180527,0.4,0
518,0,0.038988782180527,0.22,0
856,0,0.0369304037845711,-0.43,0
265,1,0.0369304037845711,0.84,1
1173,0,0.0369304037845711,-1.51,0
821,1,0.0369304037845711,-0.37,1
990,1,0.0367601881979237,-0.78,1
30,1,0.0369304037845711,1.91,1
446,0,0.0367601881979237,0.38,0
552,0,0.0367601881979237,0.15,0
374,0,0.0367601881979237,0.55,0
146,0,0.0367601881979237,1.28,0
144,0,0.0367601881979237,1.29,0
782,0,0.0367601881979237,-0.3,0
594,1,0.0365899725496512,0.09,1
222,0,0.0365899725496512,0.97,0
1078,0,0.0365899725496512,-1.06,0
139,0,0.0365899725496512,1.31,0
291,1,0.0341911629187755,0.75,1
1134,1,0.0365899725496512,-1.22,1
467,0,0.0341911629187755,0.34,0
151,0,0.0341911629187755,1.26,0
386,0,0.0341911629187755,0.52,0
930,0,0.0341911629187755,-0.6,0
211,0,0.0341911629187755,1.03,0
107,1,0.0340209472705029,1.44,1
1028,0,0.0340209472705029,-0.88,0
800,0,0.0338831957045888,-0.34,0
81,1,0.0340209472705029,1.57,1
1199,1,0.0319625688745471,-1.83,1
772,0,0.0319625688745471,-0.28,0
195,1,0.0319625688745471,1.09,1
550,1,0.0314519219913547,0.15,1
221,0,0.0319625688745471,0.98,0
811,1,0.0314519219913547,-0.35,1
21,0,0.0317923532673243,1.98,0
233,1,0.0314519219913547,0.93,1
570,1,0.0317923532673243,0.12,1
532,0,0.0293935435953988,0.19,0
75,0,0.0317923532673243,1.59,0
859,0,0.0317923532673243,-0.44,0
977,0,0.0292233280087514,-0.75,0
220,0,0.0316221376396272,0.98,0
745,0,0.0292233280087514,-0.24,0
334,0,0.0316221376396272,0.61,0
906,1,0.0292233280087514,-0.55,1
477,0,0.0316221376396272,0.31,0
292,0,0.0292233280087514,0.75,0
749,0,0.0316221376396272,-0.24,0
367,0,0.0316221376396272,0.55,0
632,0,0.0292233280087514,0.01,0
86,0,0.0316221376396272,1.56,0
655,0,0.0290531123604789,-0.04,0
542,1,0.0316221376396272,0.17,1
839,1,0.0290531123604789,-0.4,1
1062,0,0.0314519219913547,-1.0,0
965,1,0.0290531123604789,-0.71,1
134,1,0.0304227328241893,1.33,1
975,1,0.0290531123604789,-0.73,1
218,0,0.0293935435953988,0.99,0
931,1,0.0292233280087514,-0.6,1
567,0,0.0290531123604789,0.13,0
61,1,0.0292233280087514,1.66,1
1011,1,0.0290531123604789,-0.83,1
1017,1,0.0292233280087514,-0.85,1
128,0,0.0281941387799609,1.36,0
126,1,0.0292233280087514,1.36,1
96,0,0.0268245183573003,1.5,0
170,0,0.0290531123604789,1.17,0
825,1,0.027853707545041,-0.38,1
71,0,0.0268245183573003,1.61,0
1105,0,0.026994733964523,-1.13,0
914,1,0.0268245183573003,-0.56,1
76,1,0.026994733964523,1.59,1
159,0,0.0266543027296031,1.22,0
234,0,0.0268245183573003,0.92,0
92,0,0.024255493078152,1.52,0
224,0,0.0268245183573003,0.96,0
878,1,0.0266543027296031,-0.48,1
118,0,0.024255493078152,1.39,0
524,0,0.0266543027296031,0.2,0
99,1,0.024255493078152,1.48,1
165,0,0.0266543027296031,1.19,0
115,1,0.0240852774504548,1.41,1
84,1,0.0264840870813306,1.56,1
546,1,0.0240852774504548,0.16,1
143,1,0.0264840870813306,1.29,1
378,0,0.0240852774504548,0.54,0
