,q_id,doc_id,Gender,score_1,score_2,judgement
0,1,0,0,1.3270122612460782,1.8673667751272696,3.17
1,1,1,0,0.5926001979099313,-1.029980186088747,3.11
2,1,2,1,1.3270122612460782,1.3844756149246,3.07
0,1,1,0,0.225394166,-2.720099247,3.04
3,1,3,0,1.8778213087481883,-0.5470890258860771,2.85
4,1,4,0,0.2253941662418579,0.6601388746205964,2.78
5,1,5,0,2.061424324582225,0.9015844547219312,2.76
6,1,6,1,0.7762032137439681,-0.3056434457847422,2.75
7,1,7,1,0.0417911504078212,0.4186932945192614,2.71
8,1,8,1,1.1434092454120417,0.1772477144179265,2.7
1,1,2,1,0.408997182,0.901584455,2.62
9,1,9,1,0.0417911504078212,-2.2372080865954205,2.6
2,1,3,0,0.408997182,-0.788534606,2.6
10,1,10,0,1.8778213087481883,1.625921195025935,2.59
3,1,4,0,0.776203214,-1.754316926,2.58
11,1,11,1,0.4089971820758946,1.1430300348232665,2.55
12,1,12,1,0.0417911504078212,1.1430300348232665,2.53
13,1,13,0,-0.5090178970942889,-0.3056434457847422,2.53
4,1,5,1,-0.692620913,1.384475615,2.52
16,1,16,1,0.9598062295780048,0.6601388746205964,2.5
14,1,14,0,1.3270122612460782,0.9015844547219312,2.5
15,1,15,0,1.1434092454120417,1.1430300348232665,2.5
5,1,6,1,-1.059826945,-0.064197866,2.48
6,1,7,0,1.143409245,1.143030035,2.43
7,1,8,0,0.95980623,1.143030035,2.4
20,1,20,0,-0.0500103575091971,-0.5470890258860771,2.39
18,1,18,0,0.4089971820758946,1.3844756149246,2.39
8,1,9,0,1.510615277,-0.305643446,2.39
17,1,17,1,0.7762032137439681,1.625921195025935,2.39
19,1,19,1,-0.5090178970942889,1.1430300348232665,2.39
21,1,21,1,0.5926001979099313,0.9015844547219312,2.38
22,1,22,0,-1.6106359920985092,1.625921195025935,2.37
10,1,11,0,0.225394166,-0.788534606,2.37
9,1,10,0,0.95980623,0.660138875,2.37
23,1,23,0,0.4089971820758946,0.6601388746205964,2.36
11,1,12,0,1.051607737,-0.064197866,2.35
24,1,24,1,0.7762032137439681,0.9015844547219312,2.34
26,1,26,1,0.7762032137439681,1.8673667751272696,2.34
25,1,25,0,1.051607737495023,1.1430300348232665,2.34
27,1,27,0,1.3270122612460782,-0.0641978656834072,2.33
28,1,28,1,-0.1418118654262154,1.3844756149246,2.33
29,1,29,0,-0.6008194050113072,-1.2714257661900807,2.32
12,1,13,0,0.225394166,0.660138875,2.29
13,1,14,1,0.04179115,0.660138875,2.29
14,1,15,0,0.04179115,0.418693295,2.27
30,1,30,0,1.3270122612460782,1.1430300348232665,2.26
15,1,16,1,0.592600198,0.660138875,2.25
32,1,32,1,1.3270122612460782,0.4186932945192614,2.24
31,1,31,1,0.5926001979099313,-0.5470890258860771,2.24
16,1,17,1,0.225394166,1.143030035,2.24
34,1,34,0,0.5926001979099313,-0.0641978656834072,2.23
17,1,18,1,1.877821309,-0.064197866,2.23
33,1,33,1,0.9598062295780048,1.3844756149246,2.23
35,1,35,1,1.3270122612460782,1.625921195025935,2.22
38,1,38,1,0.5926001979099313,1.625921195025935,2.22
37,1,37,1,0.0417911504078212,1.625921195025935,2.22
36,1,36,0,2.061424324582225,-0.788534605987412,2.22
39,1,39,0,-0.1418118654262154,0.4186932945192614,2.21
40,1,40,0,0.9598062295780048,1.1430300348232665,2.2
18,1,19,0,1.143409245,1.143030035,2.19
41,1,41,0,0.7762032137439681,0.9015844547219312,2.19
45,1,45,1,0.9598062295780048,1.625921195025935,2.18
42,1,42,0,-0.3254148812602521,-0.788534605987412,2.18
44,1,44,0,0.7762032137439681,-1.9957625064940856,2.18
43,1,43,0,-0.6008194050113072,0.1772477144179265,2.18
19,1,20,0,0.95980623,-0.064197866,2.18
20,1,21,0,0.04179115,1.143030035,2.17
46,1,46,0,-0.6926209129283255,-2.7200992467980893,2.17
21,1,22,1,1.327012261,1.384475615,2.16
47,1,47,1,-1.4270329762644725,1.1430300348232665,2.16
48,1,48,0,0.5926001979099313,0.1772477144179265,2.15
49,1,49,0,1.510615277080115,-0.3056434457847422,2.15
50,1,50,1,0.5926001979099313,-0.0641978656834072,2.15
22,1,23,0,-0.692620913,0.177247714,2.13
51,1,51,1,0.9598062295780048,-1.9957625064940856,2.13
52,1,52,0,0.9598062295780048,-0.3056434457847422,2.13
53,1,53,1,-0.6926209129283255,0.9015844547219312,2.13
54,1,54,0,1.3270122612460782,1.1430300348232665,2.12
55,1,55,1,0.5926001979099313,-0.5470890258860771,2.12
56,1,56,1,1.1434092454120417,0.4186932945192614,2.11
57,1,57,1,1.1434092454120417,0.4186932945192614,2.11
58,1,58,1,-1.4270329762644725,1.625921195025935,2.1
23,1,24,0,0.95980623,1.384475615,2.1
24,1,25,1,-0.968025437,0.660138875,2.1
59,1,59,0,-0.3254148812602521,-1.029980186088747,2.09
60,1,60,1,-1.1883490556802243,0.4186932945192614,2.09
25,1,26,1,-0.325414881,1.625921195,2.08
64,1,64,1,0.9598062295780048,1.3844756149246,2.08
65,1,65,0,0.9598062295780048,1.8673667751272696,2.08
26,1,27,0,2.061424325,0.418693295,2.08
63,1,63,0,1.510615277080115,1.8673667751272696,2.08
62,1,62,1,1.8778213087481883,1.3844756149246,2.08
61,1,61,1,0.7762032137439681,1.8673667751272696,2.08
67,1,67,1,0.9598062295780048,0.6601388746205964,2.07
66,1,66,0,1.8778213087481883,-0.0641978656834072,2.07
28,1,29,0,0.776203214,0.660138875,2.06
27,1,28,0,0.408997182,-0.788534606,2.06
70,1,70,1,0.1335926583248396,1.1430300348232665,2.06
69,1,69,1,-0.3254148812602521,1.3844756149246,2.06
68,1,68,0,1.510615277080115,-1.5128713462914156,2.06
74,1,74,0,1.6942182929141516,0.6601388746205964,2.05
29,1,30,0,0.95980623,0.418693295,2.05
75,1,75,1,1.3270122612460782,1.1430300348232665,2.05
71,1,71,1,1.1434092454120417,0.9015844547219312,2.05
73,1,73,1,-0.5090178970942889,-0.0641978656834072,2.05
72,1,72,0,1.510615277080115,-0.0641978656834072,2.05
76,1,76,0,0.5926001979099313,0.9015844547219312,2.04
77,1,77,0,0.9598062295780048,0.4186932945192614,2.04
78,1,78,1,0.0417911504078212,0.1772477144179265,2.04
79,1,79,1,0.2253941662418579,0.4186932945192614,2.04
30,1,31,0,0.225394166,-0.305643446,2.04
80,1,80,1,-0.6926209129283255,0.4186932945192614,2.03
31,1,32,0,1.694218293,-0.305643446,2.03
81,1,81,1,0.4089971820758946,0.1772477144179265,2.02
33,1,34,0,0.776203214,1.867366775,2.02
82,1,82,1,2.061424324582225,1.625921195025935,2.02
32,1,33,0,-0.692620913,0.901584455,2.02
34,1,35,0,0.04179115,0.901584455,2.01
83,1,83,1,-1.2434299604304355,-0.0641978656834072,2.01
84,1,84,0,-0.3254148812602521,1.3844756149246,2.0
85,1,85,1,1.1434092454120417,0.6601388746205964,2.0
86,1,86,1,0.2253941662418579,1.625921195025935,2.0
37,1,38,0,-0.509017897,1.625921195,1.99
88,1,88,0,-0.7844224208453439,-1.029980186088747,1.99
87,1,87,1,0.5926001979099313,-0.0641978656834072,1.99
35,1,36,0,-0.141811865,1.625921195,1.99
36,1,37,0,2.061424325,0.660138875,1.99
89,1,89,0,-1.2434299604304355,-0.3056434457847422,1.99
91,1,91,1,-0.8762239287623622,-0.3056434457847422,1.98
93,1,93,0,1.8778213087481883,1.3844756149246,1.98
92,1,92,1,1.510615277080115,1.3844756149246,1.98
38,1,39,0,0.95980623,0.177247714,1.98
90,1,90,0,1.6942182929141516,1.625921195025935,1.98
39,1,40,0,-0.141811865,-0.788534606,1.98
40,1,41,0,-0.325414881,0.418693295,1.97
94,1,94,0,-0.3254148812602521,-0.0641978656834072,1.97
95,1,95,1,0.2253941662418579,0.4186932945192614,1.97
96,1,96,0,1.6942182929141516,0.4186932945192614,1.96
41,1,42,1,1.327012261,-1.512871346,1.96
42,1,43,1,0.592600198,1.384475615,1.96
97,1,97,1,-1.059826944596399,-1.5128713462914156,1.95
98,1,98,0,0.9598062295780048,0.9015844547219312,1.94
101,1,101,0,2.061424324582225,1.625921195025935,1.94
43,1,44,1,2.061424325,1.143030035,1.94
99,1,99,1,0.5926001979099313,1.3844756149246,1.94
100,1,100,0,1.8778213087481883,1.625921195025935,1.94
44,1,45,1,2.061424325,-1.029980186,1.94
104,1,104,0,-0.3254148812602521,1.1430300348232665,1.93
105,1,105,1,0.7762032137439681,0.4186932945192614,1.93
103,1,103,0,0.0417911504078212,-0.0641978656834072,1.93
102,1,102,0,0.2253941662418579,-2.4786536666967542,1.93
45,1,46,0,-0.692620913,-0.547089026,1.93
108,1,108,0,1.8778213087481883,-0.0641978656834072,1.92
46,1,47,0,1.877821309,0.418693295,1.92
107,1,107,0,1.1434092454120417,0.9015844547219312,1.92
106,1,106,0,1.510615277080115,-1.9957625064940856,1.92
109,1,109,0,-2.712254087102729,-1.5128713462914156,1.91
110,1,110,1,1.3270122612460782,-0.3056434457847422,1.91
112,1,112,0,0.2253941662418579,0.4186932945192614,1.9
111,1,111,1,-0.3254148812602521,1.3844756149246,1.9
114,1,114,0,2.061424324582225,0.6601388746205964,1.89
116,1,116,0,0.0417911504078212,-1.2714257661900807,1.89
115,1,115,1,1.8778213087481883,1.625921195025935,1.89
117,1,117,0,-0.4172163891772705,0.6601388746205964,1.89
113,1,113,1,1.8778213087481883,-0.5470890258860771,1.89
47,1,48,1,0.592600198,-0.064197866,1.89
119,1,119,0,1.510615277080115,0.4186932945192614,1.88
121,1,121,0,0.0417911504078212,0.6601388746205964,1.88
120,1,120,1,0.4089971820758946,0.9015844547219312,1.88
118,1,118,0,-0.5090178970942889,0.6601388746205964,1.88
48,1,49,1,1.877821309,0.660138875,1.88
122,1,122,1,1.3270122612460782,1.3844756149246,1.86
49,1,50,1,0.225394166,1.143030035,1.86
124,1,124,0,1.6942182929141516,0.9015844547219312,1.85
126,1,126,1,1.510615277080115,1.625921195025935,1.85
125,1,125,1,1.1434092454120417,1.8673667751272696,1.85
50,1,51,1,0.225394166,0.901584455,1.85
123,1,123,0,1.6942182929141516,0.4186932945192614,1.85
51,1,52,0,0.04179115,0.901584455,1.85
127,1,127,1,0.2253941662418579,-0.3056434457847422,1.84
129,1,129,0,0.5926001979099313,1.625921195025935,1.84
52,1,53,0,-1.059826945,-0.305643446,1.84
53,1,54,0,2.061424325,1.143030035,1.84
54,1,55,0,0.133592658,-0.064197866,1.84
128,1,128,0,0.4089971820758946,-0.3056434457847422,1.84
56,1,57,0,-0.325414881,0.660138875,1.83
57,1,58,1,-0.692620913,1.143030035,1.83
131,1,131,1,0.7762032137439681,1.1430300348232665,1.83
55,1,56,0,-0.050010358,-0.305643446,1.83
132,1,132,1,0.4089971820758946,0.6601388746205964,1.83
133,1,133,1,-0.5090178970942889,1.625921195025935,1.83
134,1,134,0,0.2253941662418579,-1.029980186088747,1.83
135,1,135,1,0.9598062295780048,1.1430300348232665,1.83
130,1,130,0,1.1434092454120417,-0.3056434457847422,1.83
136,1,136,0,-1.4270329762644725,-0.0641978656834072,1.82
137,1,137,0,1.510615277080115,0.6601388746205964,1.82
138,1,138,1,0.0417911504078212,0.6601388746205964,1.82
139,1,139,0,-0.5090178970942889,-0.5470890258860771,1.82
143,1,143,0,-0.5090178970942889,0.4186932945192614,1.81
58,1,59,1,-0.784422421,0.418693295,1.81
141,1,141,0,1.1434092454120417,0.1772477144179265,1.81
140,1,140,0,0.7762032137439681,1.1430300348232665,1.81
144,1,144,1,0.7762032137439681,1.3844756149246,1.81
142,1,142,0,0.4089971820758946,-0.5470890258860771,1.81
145,1,145,1,-0.7844224208453439,0.4186932945192614,1.81
146,1,146,0,1.1434092454120417,0.1772477144179265,1.8
147,1,147,0,1.6942182929141516,-0.5470890258860771,1.8
148,1,148,1,0.4089971820758946,1.3844756149246,1.8
150,1,150,0,0.4089971820758946,0.1772477144179265,1.79
151,1,151,0,-0.6926209129283255,-1.2714257661900807,1.79
149,1,149,0,-1.2434299604304355,0.9015844547219312,1.79
154,1,154,0,0.0417911504078212,-0.0641978656834072,1.78
60,1,61,0,0.04179115,0.177247714,1.78
156,1,156,0,0.9598062295780048,0.6601388746205964,1.78
155,1,155,1,0.0417911504078212,1.3844756149246,1.78
153,1,153,0,1.1434092454120417,0.4186932945192614,1.78
59,1,60,0,-0.876223929,0.177247714,1.78
152,1,152,1,1.8778213087481883,1.625921195025935,1.78
157,1,157,0,1.1434092454120417,2.108812355228604,1.77
158,1,158,0,2.061424324582225,1.1430300348232665,1.77
160,1,160,0,-0.1418118654262154,-0.788534605987412,1.77
159,1,159,0,2.061424324582225,1.1430300348232665,1.77
61,1,62,0,1.143409245,0.660138875,1.77
62,1,63,0,0.408997182,-0.305643446,1.77
166,1,166,0,-0.6926209129283255,-0.5470890258860771,1.76
162,1,162,1,1.6942182929141516,1.625921195025935,1.76
161,1,161,1,0.5926001979099313,-1.2714257661900807,1.76
163,1,163,0,-1.4270329762644725,0.1772477144179265,1.76
165,1,165,1,0.4089971820758946,1.1430300348232665,1.76
164,1,164,1,0.5926001979099313,0.1772477144179265,1.76
169,1,169,1,-1.335231468347454,0.9015844547219312,1.75
168,1,168,0,0.5926001979099313,1.3844756149246,1.75
167,1,167,0,2.061424324582225,1.625921195025935,1.75
64,1,65,1,-1.24342996,-1.995762506,1.75
63,1,64,1,0.776203214,1.384475615,1.75
170,1,170,1,1.6942182929141516,1.3844756149246,1.74
65,1,66,1,-0.325414881,-0.305643446,1.74
171,1,171,0,-0.3254148812602521,-0.5470890258860771,1.74
66,1,67,0,0.95980623,-0.547089026,1.74
67,1,68,1,-0.141811865,0.177247714,1.74
68,1,69,1,0.776203214,1.384475615,1.73
177,1,177,0,-0.5090178970942889,-0.3056434457847422,1.73
176,1,176,0,-0.3254148812602521,-0.5470890258860771,1.73
173,1,173,0,-1.059826944596399,-1.5128713462914156,1.73
172,1,172,0,0.9598062295780048,0.4186932945192614,1.73
175,1,175,0,0.7762032137439681,1.3844756149246,1.73
174,1,174,1,1.8778213087481883,0.6601388746205964,1.73
181,1,181,0,0.0417911504078212,-0.5470890258860771,1.72
178,1,178,0,0.8680047216609864,-1.029980186088747,1.72
