doc_id,Gender,judgement,GT_score,Inferred_Gender
625,1,0.10877721623529617,0.02,0
643,0,0.10353597409488964,-0.03,0
763,1,0.10353597409488964,-0.26,0
42,1,0.10141117971895613,1.78,0
255,1,0.09928638534302262,0.86,0
26,1,0.09829473195448311,1.94,0
45,0,0.09829473195448311,1.77,0
1155,0,0.09829473195448311,-1.36,0
25,0,0.09482461962201248,1.94,1
47,0,0.09482461962201248,1.75,1
253,1,0.09404514320261609,0.86,0
91,1,0.09305348981407657,1.52,0
279,1,0.09092869543814308,0.8,0
581,1,0.09092869543814308,0.1,0
235,0,0.08958337748160596,0.92,1
726,1,0.08781224767367005,-0.19,0
353,0,0.08781224767367005,0.58,0
27,0,0.08745858310567245,1.94,1
36,1,0.08667910668627606,1.85,0
728,1,0.08667910668627606,-0.19,0
526,0,0.08533378872973893,0.2,1
501,1,0.08434213534119943,0.26,1
785,0,0.08221734096526592,-0.3,1
321,0,0.08143786454586953,0.65,0
215,0,0.08143786454586953,1.01,0
3,0,0.07910089320079289,2.76,1
124,0,0.07910089320079289,1.37,1
398,1,0.07832141678139651,0.49,0
51,0,0.0779677522133989,1.71,1
9,0,0.0779677522133989,2.08,1
282,1,0.0771882757940025,0.79,0
341,1,0.076196622405463,0.6,0
147,0,0.076196622405463,1.28,0
1019,0,0.07520496901692349,-0.85,0
942,1,0.07407182802952947,-0.64,0
33,1,0.07407182802952947,1.86,0
1116,0,0.07385965106038636,-1.17,1
242,1,0.07308017464098998,0.89,0
198,0,0.07272651007299237,1.08,1
987,0,0.07272651007299237,-0.78,1
248,1,0.0720885212307427,0.87,0
759,0,0.07194703365359598,-0.26,0
698,0,0.07173485668445287,-0.12,1
1090,0,0.07173485668445287,-1.08,1
69,1,0.07060171569705884,1.62,1
955,0,0.07060171569705884,-0.67,1
956,1,0.07038880977135946,-0.69,0
624,0,0.0699637268548092,0.02,0
539,1,0.0699637268548092,0.17,0
182,0,0.06961006230851935,1.12,1
15,1,0.06883058588912294,2.05,0
519,1,0.06883058588912294,0.22,0
350,1,0.06883058588912294,0.58,0
295,0,0.06783893250058345,0.73,0
693,1,0.06783893250058345,-0.11,0
109,0,0.06649361454404633,1.44,1
648,1,0.06571413812464993,-0.03,0
382,0,0.06536047355665231,0.54,1
369,0,0.06536047355665231,0.55,1
421,0,0.06536047355665231,0.44,1
1103,1,0.06458099717737528,-1.12,0
608,1,0.06458099717737528,0.06,0
294,1,0.06458099717737528,0.74,0
363,1,0.06458099717737528,0.56,0
380,1,0.06458099717737528,0.54,0
35,0,0.06436882016811282,1.85,1
666,0,0.06337716675786555,-0.06,1
11,1,0.06245620280144177,2.08,0
145,1,0.06245620280144177,1.29,0
915,0,0.06224402579217932,-0.56,1
678,0,0.06224402579217932,-0.09,1
593,0,0.06224402579217932,0.09,1
149,1,0.06146454937278291,1.27,0
338,0,0.06146454937278291,0.6,0
298,0,0.06125237240363981,0.73,1
29,0,0.06125237240363981,1.92,1
471,0,0.06125237240363981,0.32,1
106,0,0.060472895984243415,1.45,0
450,0,0.06011923141624578,0.37,1
1175,0,0.06011923141624578,-1.53,1
1053,1,0.059339755036968755,-0.96,0
78,1,0.059339755036968755,1.59,0
250,0,0.059339755036968755,0.87,0
140,0,0.059127578027706296,1.3,1
405,0,0.059127578027706296,0.48,1
409,0,0.059127578027706296,0.47,1
289,0,0.05813592461745903,0.76,1
318,0,0.057994437040312284,0.66,1
602,0,0.057781531114612886,0.07,0
243,1,0.05721496066103524,0.89,0
287,0,0.05700278365177278,0.77,1
1051,0,0.05700278365177278,-0.96,1
340,0,0.05700278365177278,0.6,1
229,0,0.05622330723237638,0.93,0
83,0,0.05622330723237638,1.57,0
189,1,0.05622330723237638,1.11,0
112,1,0.05601113024152552,1.43,1
77,0,0.05601113024152552,1.59,1
10,0,0.055869642704498124,2.08,1
202,0,0.05523165382212913,1.07,0
497,0,0.05523165382212913,0.27,0
80,1,0.05523165382212913,1.57,0
808,1,0.05509016628510173,-0.35,0
178,0,0.054877989275839256,1.15,1
90,0,0.05409851289656223,1.53,0
829,1,0.05409851289656223,-0.38,0
461,1,0.05409851289656223,0.34,0
23,0,0.05388633588729977,1.96,1
